District,Area (Ha),Production (Tonnes),Year,Disruption,Severity (%),Production Loss (Tonnes),Adjusted Production (Tonnes)
Pathanamthitta,1665.82,584.55,2004,0,0,0.0,584.55
Alappuzha,626.01,136.18,2004,0,0,0.0,136.18
Kottayam,3154.47,1128.35,2004,0,0,0.0,1128.35
Idukki,42779.68,25546.16,2004,0,0,0.0,25546.16
Ernakulam,1875.72,529.46,2004,0,0,0.0,529.46
Thrissur,1733.59,463.9,2004,0,0,0.0,463.9
Palakkad,2627.87,998.8,2004,0,0,0.0,998.8
Malappuram,3018.83,472.66,2004,0,0,0.0,472.66
Kozhikode,3626.68,975.05,2004,0,0,0.0,975.05
Wayanad,12991.46,6853.31,2004,0,0,0.0,6853.31
Kannur,4310.79,1568.2,2004,0,0,0.0,1568.2
Kasaragode,2862.89,1239.16,2004,0,0,0.0,1239.16
Thiruvananthapuram,2198.64,932.0,2005,0,0,0.0,932.0
Kollam,3228.76,1059.77,2005,0,0,0.0,1059.77
Pathanamthitta,1629.37,571.76,2005,0,0,0.0,571.76
Alappuzha,605.24,131.66,2005,0,0,0.0,131.66
Kottayam,3179.21,1137.2,2005,0,0,0.0,1137.2
Idukki,41717.8,24912.06,2005,0,0,0.0,24912.06
Ernakulam,1928.38,544.33,2005,0,0,0.0,544.33
Thrissur,1764.36,472.14,2005,0,0,0.0,472.14
Palakkad,2455.01,933.1,2005,0,0,0.0,933.1
Malappuram,2950.54,461.96,2005,0,0,0.0,461.96
Kozhikode,3349.26,900.46,2005,0,0,0.0,900.46
Wayanad,12875.69,6792.24,2005,0,0,0.0,6792.24
Kannur,4087.38,1486.93,2005,0,0,0.0,1486.93
Kasaragode,2880.75,1246.89,2005,0,0,0.0,1246.89
Thiruvananthapuram,2355.43,998.46,2006,0,0,0.0,998.46
Kollam,3229.67,1060.07,2006,0,0,0.0,1060.07
Pathanamthitta,1622.59,569.38,2006,0,0,0.0,569.38
Alappuzha,635.43,138.23,2006,0,0,0.0,138.23
Kottayam,3281.5,1173.79,2006,0,0,0.0,1173.79
Idukki,43671.72,26078.85,2006,0,0,0.0,26078.85
Ernakulam,1917.65,541.3,2006,0,0,0.0,541.3
Thrissur,1713.75,458.6,2006,0,0,0.0,458.6
Palakkad,2474.47,940.5,2006,0,0,0.0,940.5
Malappuram,2825.14,442.33,2006,0,0,0.0,442.33
Kozhikode,3600.14,967.91,2006,0,0,0.0,967.91
Wayanad,12652.1,6674.29,2006,0,0,0.0,6674.29
Kannur,4196.81,1526.74,2006,0,0,0.0,1526.74
Kasaragode,2627.11,1137.11,2006,0,0,0.0,1137.11
Thiruvananthapuram,2249.66,953.63,2007,0,0,0.0,953.63
Kollam,3271.79,1073.89,2007,0,0,0.0,1073.89
Pathanamthitta,1746.19,612.75,2007,0,0,0.0,612.75
Alappuzha,624.47,135.84,2007,0,0,0.0,135.84
Kottayam,3339.49,1194.53,2007,0,0,0.0,1194.53
Idukki,42575.37,25424.16,2007,0,0,0.0,25424.16
Ernakulam,1795.98,506.95,2007,0,0,0.0,506.95
Thrissur,1828.17,489.21,2007,0,0,0.0,489.21
Palakkad,2575.46,978.88,2007,0,0,0.0,978.88
Malappuram,2956.0,462.82,2007,0,0,0.0,462.82
Kozhikode,3568.13,959.31,2007,0,0,0.0,959.31
Wayanad,12490.25,6588.91,2007,0,0,0.0,6588.91
Kannur,4278.7,1556.53,2007,0,0,0.0,1556.53
Kasaragode,2727.1,1180.39,2007,0,0,0.0,1180.39
Thiruvananthapuram,2184.18,925.87,2008,0,0,0.0,925.87
Kollam,3199.43,1050.14,2008,0,0,0.0,1050.14
Pathanamthitta,1627.01,570.93,2008,0,0,0.0,570.93
Alappuzha,624.4,135.83,2008,0,0,0.0,135.83
Kottayam,3155.32,1128.65,2008,0,0,0.0,1128.65
Idukki,42730.59,25516.85,2008,0,0,0.0,25516.85
Ernakulam,1943.09,548.48,2008,0,0,0.0,548.48
Thrissur,1745.12,466.99,2008,0,0,0.0,466.99
Palakkad,2487.51,945.45,2008,0,0,0.0,945.45
Malappuram,3013.08,471.76,2008,0,0,0.0,471.76
Kozhikode,3379.78,908.67,2008,0,0,0.0,908.67
Wayanad,11969.31,6314.1,2008,0,0,0.0,6314.1
Kannur,4179.24,1520.35,2008,0,0,0.0,1520.35
Kasaragode,2653.94,1148.72,2008,0,0,0.0,1148.72
Thiruvananthapuram,2391.53,1013.77,2009,0,0,0.0,1013.77
Kollam,3432.6,1126.68,2009,0,0,0.0,1126.68
Pathanamthitta,1729.77,606.99,2009,0,0,0.0,606.99
Alappuzha,638.88,138.98,2009,0,0,0.0,138.98
Kottayam,3312.63,1184.92,2009,0,0,0.0,1184.92
Idukki,41355.84,24695.91,2009,0,0,0.0,24695.91
Ernakulam,1940.29,547.69,2009,0,0,0.0,547.69
Thrissur,1797.04,480.88,2009,0,0,0.0,480.88
Palakkad,2587.17,983.33,2009,0,0,0.0,983.33
Malappuram,3054.37,478.22,2009,0,0,0.0,478.22
Kozhikode,3410.77,917.0,2009,0,0,0.0,917.0
Wayanad,12010.64,6335.91,2009,0,0,0.0,6335.91
Kannur,4152.86,1510.75,2009,0,0,0.0,1510.75
Kasaragode,2726.98,1180.33,2009,0,0,0.0,1180.33
Thiruvananthapuram,2365.92,1002.91,2010,0,0,0.0,1002.91
Kollam,3450.12,1132.43,2010,0,0,0.0,1132.43
Pathanamthitta,1622.84,569.47,2010,0,0,0.0,569.47
Alappuzha,616.66,134.14,2010,0,0,0.0,134.14
Kottayam,3188.45,1140.5,2010,0,0,0.0,1140.5
Idukki,41507.57,24786.52,2010,0,0,0.0,24786.52
Ernakulam,1796.03,506.97,2010,0,0,0.0,506.97
Thrissur,1760.93,471.22,2010,0,0,0.0,471.22
Palakkad,2621.17,996.25,2010,0,0,0.0,996.25
Malappuram,2886.06,451.87,2010,0,0,0.0,451.87
Kozhikode,3480.53,935.76,2010,0,0,0.0,935.76
Wayanad,12751.73,6726.85,2010,0,0,0.0,6726.85
Kannur,4210.78,1531.82,2010,0,0,0.0,1531.82
Kasaragode,2876.6,1245.1,2010,0,0,0.0,1245.1
Thiruvananthapuram,2399.04,1016.95,2011,0,0,0.0,1016.95
Kollam,3247.34,1065.87,2011,0,0,0.0,1065.87
Pathanamthitta,1706.53,598.84,2011,0,0,0.0,598.84
Alappuzha,603.73,131.33,2011,0,0,0.0,131.33
Kottayam,3145.83,1125.26,2011,0,0,0.0,1125.26
Idukki,40716.79,24314.3,2011,0,0,0.0,24314.3
Ernakulam,1887.46,532.78,2011,0,0,0.0,532.78
Thrissur,1790.48,479.13,2011,0,0,0.0,479.13
Palakkad,2397.42,911.21,2011,0,0,0.0,911.21
Malappuram,2872.97,449.82,2011,0,0,0.0,449.82
Kozhikode,3615.83,972.13,2011,0,0,0.0,972.13
Wayanad,12172.5,6421.29,2011,0,0,0.0,6421.29
Kannur,4117.41,1497.85,2011,0,0,0.0,1497.85
Kasaragode,2744.1,1187.74,2011,0,0,0.0,1187.74
Thiruvananthapuram,2404.36,1019.21,2012,0,0,0.0,1019.21
Kollam,3244.1,1064.81,2012,0,0,0.0,1064.81
Pathanamthitta,1736.38,609.31,2012,0,0,0.0,609.31
Alappuzha,632.12,137.51,2012,0,0,0.0,137.51
Kottayam,3130.65,1119.83,2012,0,0,0.0,1119.83
Idukki,43668.35,26076.84,2012,0,0,0.0,26076.84
Ernakulam,1842.32,520.03,2012,0,0,0.0,520.03
Thrissur,1813.68,485.34,2012,0,0,0.0,485.34
Palakkad,2543.52,966.74,2012,0,0,0.0,966.74
Malappuram,2948.51,461.65,2012,0,0,0.0,461.65
Kozhikode,3331.67,895.73,2012,0,0,0.0,895.73
Wayanad,12917.06,6814.06,2012,0,0,0.0,6814.06
Kannur,4192.49,1525.17,2012,0,0,0.0,1525.17
Kasaragode,2660.89,1151.73,2012,0,0,0.0,1151.73
Thiruvananthapuram,2187.7,927.36,2013,0,0,0.0,927.36
Kollam,3360.27,1102.94,2013,0,0,0.0,1102.94
Pathanamthitta,1737.31,609.64,2013,0,0,0.0,609.64
Alappuzha,586.22,127.52,2013,0,0,0.0,127.52
Kottayam,3218.89,1151.39,2013,0,0,0.0,1151.39
Idukki,41526.3,24797.7,2013,0,0,0.0,24797.7
Ernakulam,1894.1,534.65,2013,0,0,0.0,534.65
Thrissur,1731.71,463.4,2013,0,0,0.0,463.4
Palakkad,2557.93,972.22,2013,0,0,0.0,972.22
Malappuram,2904.72,454.79,2013,0,0,0.0,454.79
Kozhikode,3625.72,974.79,2013,0,0,0.0,974.79
Wayanad,12044.97,6354.02,2013,0,0,0.0,6354.02
Kannur,4201.15,1528.32,2013,0,0,0.0,1528.32
Kasaragode,2640.82,1143.04,2013,0,0,0.0,1143.04
Thiruvananthapuram,2390.38,1013.28,2014,0,0,0.0,1013.28
Kollam,3455.65,1134.24,2014,0,0,0.0,1134.24
Pathanamthitta,1665.68,584.5,2014,0,0,0.0,584.5
Alappuzha,625.86,136.14,2014,0,0,0.0,136.14
Kottayam,3316.99,1186.48,2014,0,0,0.0,1186.48
Idukki,42929.67,25635.73,2014,0,0,0.0,25635.73
Ernakulam,1872.54,528.56,2014,0,0,0.0,528.56
Thrissur,1743.79,466.63,2014,0,0,0.0,466.63
Palakkad,2407.87,915.18,2014,0,0,0.0,915.18
Malappuram,3054.7,478.27,2014,0,0,0.0,478.27
Kozhikode,3613.11,971.4,2014,0,0,0.0,971.4
Wayanad,12664.35,6680.75,2014,0,0,0.0,6680.75
Kannur,4200.28,1528.0,2014,0,0,0.0,1528.0
Kasaragode,2705.58,1171.07,2014,0,0,0.0,1171.07
Thiruvananthapuram,2344.81,993.96,2015,0,0,0.0,993.96
Kollam,3462.24,1136.4,2015,0,0,0.0,1136.4
Pathanamthitta,1773.08,622.19,2015,0,0,0.0,622.19
Alappuzha,633.24,137.75,2015,0,0,0.0,137.75
Kottayam,3260.66,1166.33,2015,0,0,0.0,1166.33
Idukki,40918.53,24434.77,2015,0,0,0.0,24434.77
Ernakulam,1803.83,509.17,2015,0,0,0.0,509.17
Thrissur,1861.34,498.09,2015,0,0,0.0,498.09
Palakkad,2536.71,964.15,2015,0,0,0.0,964.15
Malappuram,2793.8,437.42,2015,0,0,0.0,437.42
Kozhikode,3335.55,896.78,2015,0,0,0.0,896.78
Wayanad,12702.34,6700.79,2015,0,0,0.0,6700.79
Kannur,4057.71,1476.14,2015,0,0,0.0,1476.14
Kasaragode,2653.82,1148.67,2015,0,0,0.0,1148.67
Thiruvananthapuram,2304.17,976.73,2016,0,0,0.0,976.73
Kollam,3393.9,1113.97,2016,0,0,0.0,1113.97
Pathanamthitta,1732.94,608.1,2016,0,0,0.0,608.1
Alappuzha,599.01,130.3,2016,0,0,0.0,130.3
Kottayam,3283.22,1174.4,2016,0,0,0.0,1174.4
Idukki,41572.21,24825.12,2016,0,0,0.0,24825.12
Ernakulam,1834.4,517.8,2016,0,0,0.0,517.8
Thrissur,1834.12,490.81,2016,0,0,0.0,490.81
Palakkad,2547.56,968.28,2016,0,0,0.0,968.28
Malappuram,3040.6,476.06,2016,0,0,0.0,476.06
Kozhikode,3528.75,948.72,2016,0,0,0.0,948.72
Wayanad,12583.37,6638.03,2016,0,0,0.0,6638.03
Kannur,4095.54,1489.9,2016,0,0,0.0,1489.9
Kasaragode,2710.66,1173.27,2016,0,0,0.0,1173.27
Thiruvananthapuram,2239.16,949.18,2017,0,0,0.0,949.18
Kollam,3244.75,1065.02,2017,0,0,0.0,1065.02
Pathanamthitta,1787.74,627.33,2017,0,0,0.0,627.33
Alappuzha,609.41,132.57,2017,0,0,0.0,132.57
Kottayam,3341.04,1195.08,2017,0,0,0.0,1195.08
Idukki,43253.88,25829.34,2017,0,0,0.0,25829.34
Ernakulam,1922.04,542.54,2017,0,0,0.0,542.54
Thrissur,1790.47,479.13,2017,0,0,0.0,479.13
Palakkad,2529.3,961.34,2017,0,0,0.0,961.34
Malappuram,2935.8,459.66,2017,0,0,0.0,459.66
Kozhikode,3368.13,905.54,2017,0,0,0.0,905.54
Wayanad,12776.02,6739.66,2017,0,0,0.0,6739.66
Kannur,4175.41,1518.95,2017,0,0,0.0,1518.95
Kasaragode,2616.33,1132.44,2017,0,0,0.0,1132.44
Thiruvananthapuram,2326.36,986.14,2018,1,31,305.7,680.44
Kollam,3222.48,1057.71,2018,1,31,327.89,729.82
Pathanamthitta,1782.19,625.38,2018,1,31,193.87,431.51
Alappuzha,643.96,140.08,2018,1,31,43.42,96.66
Kottayam,3348.38,1197.71,2018,1,31,371.29,826.42
Idukki,42139.66,25163.97,2018,1,31,7800.83,17363.14
Ernakulam,1776.54,501.47,2018,1,31,155.46,346.01
Thrissur,1866.67,499.52,2018,1,31,154.85,344.67
Palakkad,2491.97,947.15,2018,1,31,293.62,653.53
Malappuram,3075.1,481.47,2018,1,31,149.26,332.21
Kozhikode,3635.06,977.3,2018,1,31,302.96,674.34
Wayanad,12939.19,6825.74,2018,1,31,2115.98,4709.76
Kannur,4181.25,1521.08,2018,1,31,471.53,1049.55
Kasaragode,2715.44,1175.34,2018,1,31,364.36,810.98
Thiruvananthapuram,2373.52,1006.13,2019,1,28,281.72,724.41
Kollam,3269.04,1072.99,2019,1,28,300.44,772.55
Pathanamthitta,1650.58,579.2,2019,1,28,162.18,417.02
Alappuzha,619.5,134.76,2019,1,28,37.73,97.03
Kottayam,3355.22,1200.16,2019,1,28,336.04,864.12
Idukki,43530.93,25994.78,2019,1,28,7278.54,18716.24
Ernakulam,1880.08,530.69,2019,1,28,148.59,382.1
Thrissur,1717.89,459.7,2019,1,28,128.72,330.98
Palakkad,2538.87,964.97,2019,1,28,270.19,694.78
Malappuram,3081.98,482.54,2019,1,28,135.11,347.43
Kozhikode,3348.97,900.39,2019,1,28,252.11,648.28
Wayanad,12520.91,6605.09,2019,1,28,1849.43,4755.66
Kannur,4430.1,1611.61,2019,1,28,451.25,1160.36
Kasaragode,2813.14,1217.63,2019,1,28,340.94,876.69
Thiruvananthapuram,2338.18,991.15,2020,0,0,0.0,991.15
Kollam,3397.43,1115.13,2020,0,0,0.0,1115.13
Pathanamthitta,1683.02,590.59,2020,0,0,0.0,590.59
Alappuzha,603.29,131.24,2020,0,0,0.0,131.24
Kottayam,3314.46,1185.58,2020,0,0,0.0,1185.58
Idukki,44018.0,26285.64,2020,0,0,0.0,26285.64
Ernakulam,1935.53,546.34,2020,0,0,0.0,546.34
Thrissur,1863.97,498.79,2020,0,0,0.0,498.79
Palakkad,2512.85,955.08,2020,0,0,0.0,955.08
Malappuram,2938.45,460.07,2020,0,0,0.0,460.07
Kozhikode,3577.63,961.86,2020,0,0,0.0,961.86
Wayanad,12685.42,6691.87,2020,0,0,0.0,6691.87
Kannur,4355.22,1584.37,2020,0,0,0.0,1584.37
Kasaragode,2828.25,1224.17,2020,0,0,0.0,1224.17
