District,Area (Ha),Production (Tonnes),Year
Ernakulam,1922.04,542.54,2017
Thrissur,1790.47,479.13,2017
Palakkad,2529.3,961.34,2017
Malappuram,2935.8,459.66,2017
Kozhikode,3368.13,905.54,2017
Wayanad,12776.02,6739.66,2017
Kannur,4175.41,1518.95,2017
Kasaragode,2616.33,1132.44,2017
Thiruvananthapuram,2326.36,986.14,2018
Kollam,3222.48,1057.71,2018
Pathanamthitta,1782.19,625.38,2018
Alappuzha,643.96,140.08,2018
Kottayam,3348.38,1197.71,2018
Idukki,42139.66,25163.97,2018
Ernakulam,1776.54,501.47,2018
Thrissur,1866.67,499.52,2018
Palakkad,2491.97,947.15,2018
Malappuram,3075.1,481.47,2018
Kozhikode,3635.06,977.3,2018
Wayanad,12939.19,6825.74,2018
Kannur,4181.25,1521.08,2018
Kasaragode,2715.44,1175.34,2018
Thiruvananthapuram,2373.52,1006.13,2019
Kollam,3269.04,1072.99,2019
Pathanamthitta,1650.58,579.2,2019
Alappuzha,619.5,134.76,2019
Kottayam,3355.22,1200.16,2019
Idukki,43530.93,25994.78,2019
Ernakulam,1880.08,530.69,2019
Thrissur,1717.89,459.7,2019
Palakkad,2538.87,964.97,2019
Malappuram,3081.98,482.54,2019
Kozhikode,3348.97,900.39,2019
Wayanad,12520.91,6605.09,2019
Kannur,4430.1,1611.61,2019
Kasaragode,2813.14,1217.63,2019
Thiruvananthapuram,2338.18,991.15,2020
Kollam,3397.43,1115.13,2020
Pathanamthitta,1683.02,590.59,2020
Alappuzha,603.29,131.24,2020
Kottayam,3314.46,1185.58,2020
Idukki,44018.0,26285.64,2020
Ernakulam,1935.53,546.34,2020
Thrissur,1863.97,498.79,2020
Palakkad,2512.85,955.08,2020
Malappuram,2938.45,460.07,2020
Kozhikode,3577.63,961.86,2020
Wayanad,12685.42,6691.87,2020
Kannur,4355.22,1584.37,2020
Kasaragode,2828.25,1224.17,2020
